"mz","rt","t.score","p.value","mode"
59.04987,893.58,0.5603,0.581,"positive"
59.04987,1311.72,1.5394,0.1337,"positive"
59.04991,1042.26,-0.1545,0.8787,"positive"
59.04999,1277.88,1.4318,0.1668,"positive"
59.05002,914.28,-0.0104,0.9918,"positive"
59.05003,980.52,1.8276,0.0771,"positive"
59.05009,1297.56,0.0434,0.966,"positive"
59.05019,1024.68,0.1283,0.8992,"positive"
59.05021,1113,3.0714,0.0044,"positive"
59.05021,951.54,0.7086,0.4841,"positive"
59.05028,975,-0.5544,0.5846,"positive"
59.05069,1627.02,0.9814,0.3366,"positive"
59.0507,347.82,-1.0016,0.3282,"positive"
59.05098,1316.52,0.2861,0.7771,"positive"
59.0511,1253.04,-0.2707,0.7895,"positive"
60.04295,1374.84,2.2443,0.0322,"positive"
60.04353,1379.04,0.8764,0.3888,"positive"
60.04359,1435.56,0.5699,0.5736,"positive"
60.04361,1348.62,0.8634,0.3944,"positive"
60.0437,1410.36,-0.4474,0.6594,"positive"
60.04431,1432.2,2.9526,0.0059,"positive"
60.0444,1420.02,-0.7653,0.4507,"positive"
60.0447,1344.84,0.2183,0.8289,"positive"
60.04483,1617.24,1.3665,0.186,"positive"
60.04494,1384.38,1.5912,0.1235,"positive"
60.04569,1363.44,2.4156,0.0216,"positive"
64.01427,76.32,-0.1998,0.843,"positive"
64.01592,79.44,0.7299,0.4708,"positive"
72.0795,1629.54,-0.2527,0.8037,"positive"
72.08012,1625.22,-0.5344,0.598,"positive"
72.08091,1621.74,4.0385,4e-04,"positive"
73.05901,1275.84,4.7953,0,"positive"
73.06315,1026.06,3.5565,0.0014,"positive"
73.06327,1351.74,3.8729,6e-04,"positive"
73.06347,1314.48,1.9836,0.0592,"positive"
73.06353,526.5,4.5419,1e-04,"positive"
73.06363,389.88,4.237,2e-04,"positive"
73.06375,1325.52,2.1982,0.0375,"positive"
73.06375,1279.26,4.5962,1e-04,"positive"
73.06463,1180.62,3.6393,0.0011,"positive"
73.06499,1363.8,3.9,6e-04,"positive"
73.06506,1198.56,4.2913,2e-04,"positive"
73.06507,560.34,2.3118,0.0279,"positive"
73.06508,1342.08,3.8167,7e-04,"positive"
73.06515,1334.46,2.1013,0.0445,"positive"
73.06519,1381.38,2.9188,0.0067,"positive"
73.06552,1075.74,3.6869,0.0011,"positive"
73.06679,1017.06,3.264,0.0031,"positive"
80.04826,1364.82,1.1355,0.2664,"positive"
80.04935,1374.48,2.6485,0.0132,"positive"
80.05008,1344.12,0.2703,0.7887,"positive"
80.94614,71.46,-0.6428,0.5251,"positive"
80.94632,75.72,0.7031,0.4871,"positive"
90.97527,76.62,-0.77,0.4483,"positive"
90.97609,72.96,-0.8141,0.4217,"positive"
90.97612,78.48,-0.5685,0.5745,"positive"
94.06548,1344.12,1.7419,0.0914,"positive"
94.06599,1374.96,2.794,0.0087,"positive"
94.06657,1371.06,2.2035,0.0355,"positive"
100.07468,352.32,-0.3158,0.7551,"positive"
100.07525,348.36,0.3638,0.7191,"positive"
100.07604,345.96,0.4197,0.6784,"positive"
100.11143,338.16,0.4166,0.6798,"positive"
100.11213,335.22,0.2289,0.8205,"positive"
103.05048,335.76,-0.8049,0.4308,"positive"
103.05312,339.3,-1.0661,0.2993,"positive"
104.10828,80.1,-0.1003,0.9208,"positive"
105.06403,880.14,1.7381,0.0928,"positive"
105.06709,872.64,0.0873,0.9312,"positive"
105.07021,869.34,1.2121,0.2344,"positive"
106.06251,1378.62,1.7875,0.0837,"positive"
106.0642,1369.68,2.3464,0.0257,"positive"
106.06527,1383.48,1.6968,0.1005,"positive"
106.94958,77.22,-0.3753,0.7101,"positive"
106.9503,71.94,0.3956,0.695,"positive"
108.07935,1379.34,1.6175,0.1197,"positive"
108.07975,1348.26,2.2341,0.0326,"positive"
108.08013,1374.9,3.5751,0.0015,"positive"
108.08033,1382.76,2.1874,0.0383,"positive"
108.08064,1370.34,4.3441,2e-04,"positive"
110.05956,377.7,-0.5391,0.5935,"positive"
112.89089,1026.06,-0.2141,0.8324,"positive"
112.89116,6.54,0.0472,0.9627,"positive"
112.89191,1014.3,1.0791,0.2887,"positive"
112.89201,878.64,0.7991,0.4322,"positive"
112.89208,1102.98,1.0993,0.2825,"positive"
112.89243,1204.38,2.4581,0.02,"positive"
112.89245,883.92,1.7465,0.0911,"positive"
112.89262,875.64,0.9884,0.334,"positive"
112.89268,1211.28,0.0772,0.939,"positive"
112.89291,611.4,-0.6526,0.5189,"positive"
112.89297,382.98,1.5002,0.1449,"positive"
112.89301,1184.4,1.4826,0.1481,"positive"
112.89327,1179.66,1.0503,0.3026,"positive"
112.89339,916.68,-1.076,0.2946,"positive"
112.89358,870.12,0.7466,0.4617,"positive"
112.89365,1005.12,0.5036,0.618,"positive"
112.89377,606.54,-0.0227,0.982,"positive"
112.89378,420.24,1.7402,0.0919,"positive"
112.89381,741.12,2.1894,0.0364,"positive"
112.89384,634.14,2.0229,0.0515,"positive"
112.8939,979.14,0.5635,0.5774,"positive"
112.89396,894.6,0.8309,0.4126,"positive"
112.89397,1051.32,2.408,0.023,"positive"
112.894,952.68,0.2347,0.8164,"positive"
112.89403,495.12,0.6657,0.5107,"positive"
112.89409,517.56,2.4009,0.0224,"positive"
112.89418,1121.64,0.0435,0.9656,"positive"
112.89419,1130.22,1.0216,0.3158,"positive"
112.89421,49.74,-0.8188,0.4218,"positive"
112.89423,429.24,1.6046,0.1189,"positive"
112.89429,65.64,0.6931,0.4935,"positive"
112.89432,930.12,1.6147,0.1164,"positive"
112.89436,1076.1,2.9918,0.0066,"positive"
112.89438,911.04,-0.4081,0.6868,"positive"
112.89439,847.38,2.5225,0.0173,"positive"
112.89442,984.66,-0.6579,0.5173,"positive"
112.89445,1224.06,1.3839,0.1766,"positive"
112.89449,754.92,3.0668,0.0045,"positive"
112.89451,745.26,2.5896,0.0148,"positive"
112.89458,973.62,0.4697,0.6422,"positive"
112.89458,961.2,-0.7235,0.4772,"positive"
112.89466,768,3.4218,0.0018,"positive"
112.89468,697.98,1.5609,0.1285,"positive"
112.89469,59.64,-1.3914,0.1758,"positive"
112.89482,566.88,1.2708,0.2161,"positive"
112.89491,1672.26,-0.1029,0.9192,"positive"
112.895,346.44,0.4253,0.6735,"positive"
112.89505,1093.44,2.4812,0.0201,"positive"
112.89507,828.72,2.6778,0.0116,"positive"
112.89518,369.18,1.4606,0.1541,"positive"
112.89521,333.66,1.0052,0.3231,"positive"
112.89523,403.68,1.8906,0.0708,"positive"
112.89523,409.2,2.7941,0.0087,"positive"
112.89523,1199.94,2.3571,0.0263,"positive"
112.89524,968.76,0.4691,0.6429,"positive"
112.89526,32.34,0.5105,0.6134,"positive"
112.89536,588.78,0.1372,0.8918,"positive"
112.89539,1135.74,2.3728,0.0239,"positive"
112.89539,646.56,1.3771,0.1786,"positive"
112.8954,678.54,0.3677,0.7166,"positive"
112.8954,824.58,-0.4468,0.6608,"positive"
112.89542,841.14,1.1706,0.2514,"positive"
112.89542,1618.98,1.2088,0.242,"positive"
112.8955,61.92,-0.8819,0.385,"positive"
112.89551,1662.54,3.7757,0.0013,"positive"
112.89552,544.44,1.7233,0.0988,"positive"
112.89552,326.4,2.0778,0.046,"positive"
112.89552,654.18,2.0992,0.0438,"positive"
112.89555,940.14,0.9587,0.3449,"positive"
112.89557,1126.08,1.1028,0.2797,"positive"
112.89561,529.98,3.6288,0.001,"positive"
112.89565,535.5,3.6191,0.001,"positive"
112.89567,1677.36,-1.6532,0.1128,"positive"
112.89574,339.54,0.9136,0.368,"positive"
112.89581,988.08,1.0998,0.2811,"positive"
112.89584,867,0.2569,0.7993,"positive"
112.89584,1256.52,-0.1336,0.8947,"positive"
112.89584,1115.28,2.5482,0.0159,"positive"
112.896,956.82,0.1786,0.8601,"positive"
112.89613,863.22,-1.1184,0.2747,"positive"
112.89632,899.76,2.2536,0.0315,"positive"
112.89644,492,0.8722,0.3897,"positive"
112.89651,1078.26,3.0984,0.0051,"positive"
112.89661,629.34,0.781,0.4416,"positive"
112.89661,1667.46,3.2922,0.0025,"positive"
112.89665,389.22,0.7708,0.4482,"positive"
112.89669,905.28,1.2806,0.2097,"positive"
112.89687,859.08,0.5182,0.6084,"positive"
112.89695,329.88,1.6775,0.1035,"positive"
112.89741,1019.16,1.0722,0.2917,"positive"
112.89749,1042.14,0.7156,0.4818,"positive"
112.89896,592.5,0.3314,0.7429,"positive"
112.89904,926.46,2.2308,0.0329,"positive"
112.89909,1299.3,2.3465,0.0279,"positive"
112.89917,560.34,1.7636,0.0873,"positive"
112.89918,614.82,-0.2247,0.8237,"positive"
112.89929,596.88,-0.9449,0.3525,"positive"
112.89931,1032.6,0.7798,0.444,"positive"
112.89948,425.76,1.6552,0.1077,"positive"
112.89977,576.42,0.4542,0.6533,"positive"
112.8998,546.96,1.9278,0.0681,"positive"
112.89988,514.08,2.48,0.0187,"positive"
112.89999,1068.84,1.8178,0.0834,"positive"
112.90002,1229.58,1.3378,0.1904,"positive"
112.90012,649.8,1.3977,0.172,"positive"
114.09069,412.92,-0.6497,0.5238,"positive"
114.09122,424.38,-1.6503,0.1184,"positive"
114.09183,400.62,0.4296,0.6705,"positive"
114.88782,1066.08,0.4653,0.646,"positive"
114.88898,877.5,-0.2766,0.7847,"positive"
114.88912,952.92,0.0837,0.9339,"positive"
114.8898,1032.96,1.4542,0.1582,"positive"
114.89056,904.62,0.2587,0.7981,"positive"
114.89061,928.08,1.4282,0.1629,"positive"
114.89067,31.8,-0.2276,0.8218,"positive"
114.89089,496.14,2.0355,0.0502,"positive"
114.89095,697.62,1.4399,0.1597,"positive"
114.89099,346.44,1.2012,0.2393,"positive"
114.891,1029.48,0.9213,0.3655,"positive"
114.891,1662.9,4.731,1e-04,"positive"
114.89108,1025.34,0.6669,0.5105,"positive"
114.89113,49.74,0.1724,0.8644,"positive"
114.89114,490.62,0.1678,0.8679,"positive"
114.89114,1124.7,1.9104,0.0651,"positive"
114.89119,593.46,0.1811,0.8575,"positive"
114.89123,963.24,0.3375,0.7382,"positive"
114.89131,1277.88,2.9705,0.0062,"positive"
114.89132,611.4,0.0702,0.9445,"positive"
114.89132,1093.68,2.1819,0.0384,"positive"
114.89156,1216.5,2.6688,0.0121,"positive"
114.89164,584.46,0.0825,0.9349,"positive"
114.89169,1106.1,2.6873,0.0123,"positive"
114.89169,59.04,-0.8458,0.4051,"positive"
114.89171,1154.4,1.5704,0.1274,"positive"
114.89172,1097.82,2.0548,0.0485,"positive"
114.89184,1673.94,-0.6908,0.4978,"positive"
114.89187,370.56,1.1243,0.27,"positive"
114.89194,1101.24,1.2249,0.2315,"positive"
114.89194,894.24,2.0563,0.0481,"positive"
114.89198,629.34,1.3245,0.1956,"positive"
114.89198,1083.3,3.3027,0.0025,"positive"
114.89203,740.4,3.113,0.0039,"positive"
114.89205,890.1,1.9273,0.0629,"positive"
114.89207,389.22,1.7493,0.0901,"positive"
114.89209,333,2.3728,0.0238,"positive"
114.89209,679.02,-0.1381,0.8916,"positive"
114.89216,411.3,0.4248,0.6756,"positive"
114.89217,870.36,3.0202,0.005,"positive"
114.89221,420.24,1.2665,0.2158,"positive"
114.89227,1119.66,0.4327,0.6686,"positive"
114.89236,1618.98,1.32,0.2027,"positive"
114.89236,62.46,-0.2313,0.8186,"positive"
114.89237,992.94,0.8619,0.3958,"positive"
114.89237,325.74,2.1059,0.0432,"positive"
114.89239,379.56,0.7774,0.4428,"positive"
114.89239,701.76,1.5077,0.1439,"positive"
114.8924,1003.26,0.3657,0.7174,"positive"
114.8925,1022.28,-0.0781,0.9383,"positive"
114.89251,587.94,0.432,0.6688,"positive"
114.89252,577.56,1.7425,0.091,"positive"
114.89263,65.28,0.9009,0.3747,"positive"
114.89265,429.66,1.245,0.2233,"positive"
114.89267,543.78,1.2824,0.2141,"positive"
114.89275,403.02,1.4997,0.1481,"positive"
114.89279,986.04,0.4033,0.69,"positive"
114.89279,1183.38,2.4119,0.022,"positive"
114.89283,754.92,4.0974,4e-04,"positive"
114.89284,509.94,2.3034,0.028,"positive"
114.8929,1295.16,1.5884,0.1253,"positive"
114.89291,931.5,2.6549,0.0128,"positive"
114.89297,1050.18,1.8329,0.0773,"positive"
114.89298,1046.04,2.0862,0.0466,"positive"
114.89304,915.66,-0.5335,0.5986,"positive"
114.89305,560.34,1.5078,0.1417,"positive"
114.8932,899.76,2.1766,0.037,"positive"
114.89355,660.36,3.484,0.0018,"positive"
114.89372,634.14,1.7121,0.0966,"positive"
114.89393,654.48,4.327,3e-04,"positive"
114.89393,941.16,1.1994,0.2394,"positive"
114.89394,881.4,1.0408,0.3064,"positive"
114.8941,977.76,1.5547,0.1309,"positive"
114.8943,1076.4,0.7945,0.4366,"positive"
114.89434,974.28,1.1239,0.2696,"positive"
114.89478,1129.32,1.1203,0.2729,"positive"
114.8959,1256.16,-0.8374,0.411,"positive"
114.8965,968.76,0.6447,0.5243,"positive"
114.89908,957.42,1.364,0.1829,"positive"
114.89922,1179.9,0.7314,0.4705,"positive"
114.89951,865.08,-1.2325,0.2318,"positive"
114.89956,572.76,2.0301,0.0508,"positive"
114.90025,569.28,1.9839,0.0561,"positive"
118.07957,6.3,-1.1014,0.2814,"positive"
118.08385,1650.48,0.3009,0.7661,"positive"
118.08411,588.6,0.1899,0.8506,"positive"
118.08412,348.48,1.1569,0.2561,"positive"
118.08427,1052.28,3.2289,0.0033,"positive"
118.08433,1129.86,0.7779,0.4437,"positive"
118.08464,655.56,3.0312,0.0049,"positive"
118.08475,1074.36,2.4848,0.0201,"positive"
118.08489,511.32,2.6856,0.0114,"positive"
118.08505,369.18,0.8819,0.3858,"positive"
118.08509,591.72,-0.229,0.8204,"positive"
118.08516,329.16,1.6311,0.113,"positive"
118.08527,634.14,1.255,0.2188,"positive"
118.0853,581.04,-0.052,0.9589,"positive"
118.08533,979.14,0.704,0.4871,"positive"
118.08535,338.16,0.5246,0.6038,"positive"
118.08536,1621.02,2.2734,0.0326,"positive"
118.0854,954.3,0.6563,0.5168,"positive"
118.08543,1094.34,2.8381,0.0083,"positive"
118.08549,420.96,1.5762,0.1253,"positive"
118.08567,61.8,-1.1041,0.2815,"positive"
118.08576,1181.28,2.898,0.0068,"positive"
118.08598,1032.96,1.7876,0.0855,"positive"
118.08603,378.84,1.3298,0.1932,"positive"
118.08604,1046.04,1.3501,0.1897,"positive"
118.08611,561,2.3798,0.0238,"positive"
118.08645,1195.08,1.0471,0.3034,"positive"
118.08648,932.88,0.8898,0.3802,"positive"
118.08694,894.3,0.8133,0.4242,"positive"
118.08696,1001.88,1.0902,0.2842,"positive"
118.08698,1635.96,0.2039,0.84,"positive"
118.0873,926.7,2.0561,0.0487,"positive"
118.08733,389.88,2.4776,0.0187,"positive"
118.08733,1125.42,0.9811,0.3345,"positive"
118.08742,869.46,0.6436,0.5256,"positive"
118.08778,1111.62,2.7731,0.0093,"positive"
118.08848,1078.74,2.5347,0.0192,"positive"
118.08876,962.58,0.3879,0.701,"positive"
118.0888,1119.9,1.2934,0.2061,"positive"
118.08883,1029.48,0.9884,0.3317,"positive"
118.08896,974.28,0.638,0.5282,"positive"
119.08186,975,3.0202,0.0057,"positive"
119.08231,946.5,1.0472,0.303,"positive"
119.08286,952.62,3.2567,0.0033,"positive"
119.08607,949.44,0.8534,0.4,"positive"
119.08656,941.88,0.1048,0.9174,"positive"
119.0869,988.08,3.2711,0.0031,"positive"
119.08878,956.34,2.2408,0.0339,"positive"
120.00269,77.88,1.5823,0.1302,"positive"
120.07943,339.66,-0.8133,0.4254,"positive"
120.0797,336.78,-0.659,0.5173,"positive"
120.08055,346.44,-1.2641,0.2224,"positive"
122.09146,1371.06,2.5546,0.0158,"positive"
122.92041,1029.48,1.4806,0.1501,"positive"
122.92175,1650.48,-2.0097,0.0633,"positive"
122.92271,1641.48,-0.9509,0.3505,"positive"
122.92271,567.9,1.9009,0.0694,"positive"
122.92287,929.46,1.0389,0.3072,"positive"
122.92361,1634.4,5.5499,0,"positive"
122.92383,347.82,-0.0743,0.9413,"positive"
122.92385,1041.24,1.0605,0.299,"positive"
122.92387,981.9,0.4036,0.6893,"positive"
122.92392,1051.56,1.8673,0.0758,"positive"
122.92403,1644.96,-2.9509,0.0093,"positive"
122.92415,1631.28,5.9164,0,"positive"
122.92422,1637.88,2.0855,0.0451,"positive"
122.92434,1662.18,-1.8194,0.0893,"positive"
122.92469,69,-0.9347,0.3573,"positive"
122.92517,607.92,0.0938,0.9259,"positive"
122.92527,1621.5,1.0722,0.2958,"positive"
122.92542,431.28,1.8304,0.0765,"positive"
122.92564,959.82,0.7545,0.4568,"positive"
122.92567,560.34,0.2552,0.8009,"positive"
122.92625,329.64,1.0539,0.2999,"positive"
122.9265,380.22,1.3822,0.1771,"positive"
122.92745,1037.76,-0.0485,0.9618,"positive"
123.09155,1618.14,2.3287,0.0296,"positive"
124.07706,369.9,-1.007,0.331,"positive"
124.08554,1378.98,0.2157,0.8309,"positive"
124.08706,1375.32,1.6659,0.1065,"positive"
124.92075,1635.54,2.3424,0.0255,"positive"
124.92142,1631.16,4.2923,2e-04,"positive"
124.92336,1644.24,-1.9709,0.0634,"positive"
124.92376,1629.42,4.6918,1e-04,"positive"
125.98602,1650.3,-6.8364,0,"positive"
125.98633,1644.12,17.7704,0,"positive"
126.09113,364.14,-1.0034,0.3303,"positive"
126.09251,366.6,-1.2043,0.2479,"positive"
130.06125,1366.92,3.8691,6e-04,"positive"
130.06406,1373.1,2.6604,0.0132,"positive"
130.06445,1370.34,2.5643,0.0164,"positive"
130.08745,73.98,-2.8198,0.0105,"positive"
130.16188,433.14,1.0395,0.3067,"positive"
131.04768,340.86,-0.9246,0.3659,"positive"
131.05206,337.92,-0.4302,0.6713,"positive"
135.09457,15.96,2.4994,0.0181,"positive"
135.09547,1085.4,3.2204,0.0031,"positive"
135.09622,1107.48,3.6467,0.0011,"positive"
135.09729,1128.18,2.7426,0.0099,"positive"
135.09843,925.98,1.7431,0.0917,"positive"
135.09845,1055.7,2.5358,0.0163,"positive"
135.09862,1627.02,5.0587,0,"positive"
135.09874,881.4,2.2354,0.0331,"positive"
135.0988,1072.98,4.3608,1e-04,"positive"
135.099,940.5,2.4611,0.02,"positive"
135.09906,376.08,3.7622,8e-04,"positive"
135.09908,536.16,5.0187,0,"positive"
135.0993,61.5,1.0127,0.3188,"positive"
135.09938,1661.52,3.4276,0.0017,"positive"
135.09958,868.74,2.4134,0.0217,"positive"
135.09961,1374.84,3.6793,9e-04,"positive"
135.09969,1079.88,5.1083,0,"positive"
135.09982,1180.62,3.5792,0.0014,"positive"
135.09988,431.28,3.2419,0.0029,"positive"
135.09993,1133.34,3.2933,0.0026,"positive"
135.10002,1316.52,2.07,0.0468,"positive"
135.10002,656.22,3.5236,0.0019,"positive"
135.10004,1364.46,3.4442,0.0017,"positive"
135.10004,389.7,1.9532,0.0597,"positive"
135.1001,1280.64,6.4654,0,"positive"
135.10011,1194.42,3.4493,0.0016,"positive"
135.10013,391.98,2.908,0.0066,"positive"
135.10014,381.6,3.8863,6e-04,"positive"
135.10016,1324.8,1.648,0.1092,"positive"
135.10027,1221.3,2.4813,0.0187,"positive"
135.1003,1118.88,1.9415,0.0613,"positive"
135.1003,932.7,4.4764,2e-04,"positive"
135.10034,1183.62,2.7433,0.0104,"positive"
135.1004,589.62,2.4577,0.0204,"positive"
135.10043,1295.82,4.2991,2e-04,"positive"
135.10045,409.92,5.1857,0,"positive"
135.10046,1270.98,3.8353,6e-04,"positive"
135.10048,897,3.3464,0.0023,"positive"
135.10057,333.36,3.9339,8e-04,"positive"
135.10069,906,3.395,0.0019,"positive"
135.10101,963.24,1.979,0.0565,"positive"
135.1011,30.42,1.7764,0.0853,"positive"
135.10124,1067.46,4.1391,2e-04,"positive"
135.10126,988.08,2.0762,0.0461,"positive"
135.10141,1028.82,3.4626,0.0016,"positive"
135.10149,920.46,0.3898,0.6996,"positive"
135.10155,543.06,4.7664,0,"positive"
135.10167,1215.42,3.161,0.0038,"positive"
135.10173,877.68,1.9077,0.0655,"positive"
135.10175,1381.92,4.2089,2e-04,"positive"
135.10176,1274.46,4.7143,1e-04,"positive"
135.10196,1342.74,1.2333,0.2264,"positive"
135.10201,496.14,3.8281,9e-04,"positive"
135.10223,652.08,2.894,0.007,"positive"
135.10242,325.74,2.6874,0.0125,"positive"
135.1026,1101.96,3.5225,0.0013,"positive"
135.10268,1098.48,3.5877,0.0011,"positive"
135.103,64.92,3.0088,0.0057,"positive"
135.10362,1014.3,2.4599,0.0198,"positive"
135.1039,1032.24,3.2047,0.0031,"positive"
135.1041,954.66,-0.5329,0.5991,"positive"
136.0188,1348.98,0.5906,0.56,"positive"
136.02034,1380,1.4334,0.1627,"positive"
136.02095,1365.72,2.446,0.0201,"positive"
136.02264,1375.56,2.4682,0.0196,"positive"
140.0661,80.82,0.9271,0.3608,"positive"
141.9563,1646.1,30.3174,0,"positive"
141.95695,1650.54,-5.4257,1e-04,"positive"
141.95708,1652.82,-4.9534,2e-04,"positive"
141.95749,1643.82,16.1713,0,"positive"
141.95905,67.32,3.4821,0.0015,"positive"
143.06148,403.02,-1.008,0.3306,"positive"
143.96046,1644.9,16.7548,0,"positive"
146.05728,379.74,2.7176,0.0106,"positive"
146.0583,404.76,0.977,0.3362,"positive"
146.06052,406.44,0.9693,0.34,"positive"
147.11285,72.3,-2.5302,0.0206,"positive"
147.11372,75,-2.4875,0.0209,"positive"
149.01535,1199.94,0.0257,0.9797,"positive"
149.01866,961.86,0.4022,0.6919,"positive"
149.01892,1031.58,0.5974,0.5547,"positive"
149.0192,1273.08,2.5893,0.0147,"positive"
149.01949,335.64,1.5876,0.1224,"positive"
149.01982,929.46,1.3606,0.1832,"positive"
149.01984,892.32,2.5804,0.0147,"positive"
149.02002,1182.24,0.5372,0.5953,"positive"
149.02011,1065.36,1.7776,0.0867,"positive"
149.02068,552.72,-0.3618,0.7226,"positive"
149.02094,1625.64,0.8115,0.4263,"positive"
149.0211,1298.1,0.6749,0.5056,"positive"
149.0211,1056.42,0.4222,0.6769,"positive"
149.02119,940.5,0.1467,0.8847,"positive"
149.02124,1050.18,1.6096,0.1225,"positive"
149.02132,906,0.572,0.5719,"positive"
149.02162,651.72,1.9521,0.0598,"positive"
149.02167,1190.94,2.0448,0.0496,"positive"
149.02185,1662.18,0.0039,0.9969,"positive"
149.02196,1021.68,2.5025,0.0182,"positive"
149.022,950.82,-0.0623,0.9508,"positive"
149.02203,974.28,0.1097,0.9134,"positive"
149.02209,1098.84,0.8361,0.4101,"positive"
149.02222,31.8,-0.8909,0.3832,"positive"
149.02225,1259.94,1.1446,0.262,"positive"
149.02228,1315.5,1.0138,0.3184,"positive"
149.02229,954.3,0.3299,0.7438,"positive"
149.02246,1636.32,0.8314,0.4128,"positive"
149.02246,607.26,-1.5458,0.1388,"positive"
149.02246,1044.66,0.7982,0.4324,"positive"
149.02255,1343.22,1.5094,0.1416,"positive"
149.02263,1000.5,0.2062,0.8383,"positive"
149.02267,1121.94,0.8476,0.403,"positive"
149.02272,592.08,0.6773,0.5035,"positive"
149.02287,1352.4,2.8857,0.007,"positive"
149.02322,497.52,1.3202,0.1965,"positive"
149.02328,1152.66,1.7323,0.0932,"positive"
149.02332,867.72,0.5315,0.5997,"positive"
149.02344,63.54,-0.9306,0.3625,"positive"
149.02345,67.02,0.4855,0.6307,"positive"
149.02347,1087.44,3.5508,0.0012,"positive"
149.02382,1235.1,0.3584,0.7225,"positive"
149.02393,1381.62,0.8994,0.3767,"positive"
149.02397,560.34,2.1911,0.0359,"positive"
149.024,899.76,1.0903,0.2843,"positive"
149.02411,340.2,0.4619,0.6473,"positive"
149.02417,1376.04,1.9816,0.0562,"positive"
149.02419,888.72,-0.1442,0.8866,"positive"
149.02434,1277.88,1.288,0.2116,"positive"
149.02443,1363.44,2.4497,0.0201,"positive"
149.02464,543.78,2.2074,0.0349,"positive"
149.02477,429.9,2.0411,0.0496,"positive"
149.02522,1267.56,3.2266,0.003,"positive"
149.02536,1126.08,0.4365,0.6654,"positive"
149.02547,986.7,0.5303,0.6007,"positive"
149.02556,1632.54,0.6352,0.5315,"positive"
149.026,969.48,0.4685,0.6436,"positive"
149.02621,1130.94,1.3032,0.2029,"positive"
149.0267,1077.78,0.8895,0.3843,"positive"
149.0298,1037.46,0.3645,0.7193,"positive"
149.05937,341.58,-0.4625,0.6479,"positive"
149.06024,338.16,0.1727,0.8645,"positive"
149.11197,1351.74,4.0503,4e-04,"positive"
149.11555,1375.86,4.5899,1e-04,"positive"
149.11565,1027.44,4.9586,0,"positive"
149.11589,1364.16,5.6116,0,"positive"
149.11597,929.46,3.8639,9e-04,"positive"
149.11716,1630.44,4.9684,0,"positive"
149.11757,1210.98,3.9324,5e-04,"positive"
149.11772,1323.18,1.7284,0.0937,"positive"
149.11789,1341.72,1.9714,0.0603,"positive"
149.11803,1298.22,3.596,0.0011,"positive"
149.12224,1078.5,4.7307,1e-04,"positive"
151.09834,405.78,-1.6384,0.1236,"positive"
152.06863,376.38,-0.2397,0.8121,"positive"
152.07085,328.32,-1.0844,0.2888,"positive"
152.07184,379.02,-0.184,0.8552,"positive"
153.06451,326.28,-1.284,0.2179,"positive"
153.06694,329.76,-1.8737,0.0805,"positive"
153.12567,1358.34,0.6798,0.5015,"positive"
153.12737,1368.96,1.1751,0.2499,"positive"
156.03914,1639.44,1.4374,0.1651,"positive"
156.04041,1669.08,-2.4026,0.0285,"positive"
156.04045,1661.52,-2.2565,0.0385,"positive"
156.04234,1621.08,3.4362,0.0023,"positive"
156.04356,1654.98,6.0507,0,"positive"
156.0787,76.32,0.5492,0.5868,"positive"
157.08301,73.08,0.9904,0.3294,"positive"
157.08519,75.42,1.4005,0.171,"positive"
